DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
0.000563536839608331,1,2,1.725,3,1.44444444444444,3.94444444444444
0.00055571958679554,1,2,1.75,3,1.44444444444444,3.94444444444444
0.000548285936493345,1,2,1.775,3,1.44444444444444,3.94444444444444
0.000541220888295939,1,2,1.8,3,1.44444444444444,3.94444444444444
0.000534510376114988,1,2,1.825,3,1.44444444444444,3.94444444444444
0.000528141213569385,1,2,1.85,3,1.44444444444444,3.94444444444444
0.000522101043359078,1,2,1.875,3,1.44444444444444,3.94444444444444
0.000516378290345229,1,2,1.9,3,1.44444444444444,3.94444444444444
0.000510962118079917,1,2,1.925,3,1.44444444444444,3.94444444444444
0.000505842388548289,1,2,1.95,3,1.44444444444444,3.94444444444444
0.000501009624904398,1,2,1.975,3,1.44444444444444,3.94444444444444
0.000496454976999117,1,2,2,3,1.44444444444444,3.94444444444444
0.000492170189514514,1,2,2.025,3,1.44444444444444,3.94444444444444
0.000488147572533966,1,2,2.05,3,1.44444444444444,3.94444444444444
0.000484379974391161,1,2,2.075,3,1.44444444444444,3.94444444444444
0.000480860756654094,1,2,2.1,3,1.44444444444444,3.94444444444444
0.0004775837711122,1,2,2.125,3,1.44444444444444,3.94444444444444
0.000474543338646024,1,2,2.15,3,1.44444444444444,3.94444444444444
0.000471734229869306,1,2,2.175,3,1.44444444444444,3.94444444444444
0.000469151647443167,1,2,2.2,3,1.44444444444444,3.94444444444444
0.00046679120997125,1,2,2.225,3,1.44444444444444,3.94444444444444
0.000464648937393256,1,2,2.25,3,1.44444444444444,3.94444444444444
0.000462721237802379,1,2,2.275,3,1.44444444444444,3.94444444444444
0.000461004895619768,1,2,2.3,3,1.44444444444444,3.94444444444444
0.000459497061066248,1,2,2.325,3,1.44444444444444,3.94444444444444
0.000458195240878375,1,2,2.35,3,1.44444444444444,3.94444444444444
0.00045709729022232,1,2,2.375,3,1.44444444444444,3.94444444444444
0.000456201405765216,1,2,2.4,3,1.44444444444444,3.94444444444444
0.000455506119869514,1,2,2.425,3,1.44444444444444,3.94444444444444
0.000455010295881529,1,2,2.45,3,1.44444444444444,3.94444444444444
0.000454713124490885,1,2,2.475,3,1.44444444444444,3.94444444444444
0.287338367565707,1,2,0,3,1,2.88888888888889
0.0480337809705058,1,2,0.025,3,1,2.88888888888889
0.0360959419387368,1,2,0.05,3,1,2.88888888888889
0.0325746413871826,1,2,0.075,3,1,2.88888888888889
0.0300688402751934,1,2,0.1,3,1,2.88888888888889
0.0277200380559347,1,2,0.125,3,1,2.88888888888889
0.025408337375599,1,2,0.15,3,1,2.88888888888889
0.0231582224494214,1,2,0.175,3,1,2.88888888888889
0.0210170405220565,1,2,0.2,3,1,2.88888888888889
0.0190226973816137,1,2,0.225,3,1,2.88888888888889
0.0171968110319691,1,2,0.25,3,1,2.88888888888889
0.0155463828643508,1,2,0.275,3,1,2.88888888888889
0.0140678391308084,1,2,0.3,3,1,2.88888888888889
0.0127510186443361,1,2,0.325,3,1,2.88888888888889
0.0115822977792191,1,2,0.35,3,1,2.88888888888889
0.0105467515716474,1,2,0.375,3,1,2.88888888888889
0.00962951287709598,1,2,0.4,3,1,2.88888888888889
0.00881654798819798,1,2,0.425,3,1,2.88888888888889
0.00809504183016272,1,2,0.45,3,1,2.88888888888889
0.00745353855574654,1,2,0.475,3,1,2.88888888888889
0.00688193848115274,1,2,0.5,3,1,2.88888888888889
0.00637141726311361,1,2,0.525,3,1,2.88888888888889
0.00591430836837947,1,2,0.55,3,1,2.88888888888889
0.00550397327015331,1,2,0.575,3,1,2.88888888888889
0.00513467314642425,1,2,0.6,3,1,2.88888888888889
0.00480144924611809,1,2,0.625,3,1,2.88888888888889
0.00450001512463316,1,2,0.65,3,1,2.88888888888889
